Date,Close,High,Low,Open,Volume,Symbol,Adj Close
2024-01-05,1299.439697265625,1305.4942215456497,1294.6061267435991,1297.0477909447786,8086406,RELIANCE.NS,1299.439697265625
2024-01-08,1289.2991943359375,1311.5236916149431,1280.1302403318166,1300.5858388723832,7734652,RELIANCE.NS,1289.2991943359375
2024-01-09,1285.8857421875,1298.991286774565,1284.241298964633,1295.60276290932,5403074,RELIANCE.NS,1285.8857421875
2024-01-10,1320.568115234375,1325.0030146082704,1283.170017850485,1284.1416956169662,11102740,RELIANCE.NS,1320.568115234375
2024-01-11,1355.3001708984375,1357.8913520828567,1324.0063568749174,1325.0029743810333,23725852,RELIANCE.NS,1355.3001708984375
2024-01-12,1366.0885009765625,1368.6796821500511,1341.1980031977973,1355.3001651813313,15012164,RELIANCE.NS,1366.0885009765625
2024-01-15,1389.409423828125,1391.726510938781,1361.37955559883,1370.3491134322044,8610594,RELIANCE.NS,1389.409423828125
2024-01-16,1369.975341796875,1391.5770749435692,1365.864294576788,1385.273396211656,9069024,RELIANCE.NS,1369.975341796875
2024-01-17,1356.9693603515625,1381.5858844431966,1350.4415890267092,1354.9014277988692,12197382,RELIANCE.NS,1356.9693603515625
2024-01-18,1363.3228759765625,1366.3626080491183,1346.6794122001247,1346.8289291583083,10279438,RELIANCE.NS,1363.3228759765625
2024-01-19,1362.8245849609375,1371.3457134567918,1354.4032155434447,1371.3457134567918,10422704,RELIANCE.NS,1362.8245849609375
2024-01-23,1324.0810546875,1367.1100641823,1318.076531538343,1367.1100641823,20055420,RELIANCE.NS,1324.0810546875
2024-01-24,1339.329345703125,1344.935319152724,1319.4468751981772,1330.708579978037,21919128,RELIANCE.NS,1339.329345703125
2024-01-25,1348.4981689453125,1359.5357807014761,1330.6836312147743,1338.4074168042384,11808872,RELIANCE.NS,1348.4981689453125
2024-01-29,1443.1519775390625,1447.5868766220333,1355.5742172752682,1359.8845391743644,23893438,RELIANCE.NS,1443.1519775390625
2024-01-30,1402.8636474609375,1455.0365469867197,1399.6745202625193,1455.0116072188218,14093978,RELIANCE.NS,1402.8636474609375
2024-01-31,1421.7994384765625,1429.3986469009094,1397.7560413306783,1399.250967578091,15130226,RELIANCE.NS,1421.7994384765625
2024-02-01,1421.8243408203125,1438.4678039404528,1413.253454892232,1430.1460723803827,13349362,RELIANCE.NS,1421.8243408203125
2024-02-02,1452.769287109375,1469.9111811748812,1428.3273401464805,1428.3273401464805,19652588,RELIANCE.NS,1452.769287109375
2024-02-05,1434.157470703125,1465.5259810562725,1426.6828397218792,1455.8089607806528,8814432,RELIANCE.NS,1434.157470703125
2024-02-06,1422.970458984375,1436.9728613121172,1415.0223374097375,1436.9728613121172,9047984,RELIANCE.NS,1422.970458984375
2024-02-07,1437.27197265625,1444.5970870552653,1424.4155823896087,1431.0680529608824,9296568,RELIANCE.NS,1437.27197265625
2024-02-08,1445.219970703125,1454.5383201160262,1422.6964392460436,1445.095393514029,14694634,RELIANCE.NS,1445.219970703125
2024-02-09,1455.8089599609375,1466.995966658422,1446.0420601546468,1449.0817920816041,12556798,RELIANCE.NS,1455.8089599609375
2024-02-12,1447.4373779296875,1456.0581434940393,1437.4712030939993,1455.808989123147,6674430,RELIANCE.NS,1447.4373779296875
2024-02-13,1460.144287109375,1473.9972948065167,1449.081857098496,1450.576783360977,7715594,RELIANCE.NS,1460.144287109375
2024-02-14,1476.3642578125,1478.6315869699197,1452.570014858978,1452.570014858978,7117888,RELIANCE.NS,1476.3642578125
2024-02-15,1465.6256103515625,1479.7028319549202,1461.5644428705468,1478.3324829492838,10006782,RELIANCE.NS,1465.6256103515625
2024-02-16,1455.634521484375,1472.0040121921968,1453.616468421208,1471.4807636857656,9767498,RELIANCE.NS,1455.634521484375
2024-02-19,1469.01416015625,1474.495556276236,1448.608441659238,1457.1046299766977,6729828,RELIANCE.NS,1469.01416015625
2024-02-20,1466.04931640625,1470.5091554911164,1456.855544086153,1470.0357864990758,7117496,RELIANCE.NS,1466.04931640625
2024-02-21,1462.7354736328125,1483.4901063137138,1452.619903212402,1469.0142126210908,12720292,RELIANCE.NS,1462.7354736328125
2024-02-22,1476.7379150390625,1479.927042234461,1453.0682504652966,1463.1839419725131,18493728,RELIANCE.NS,1476.7379150390625
2024-02-23,1488.57275390625,1492.4845261002738,1478.3324851717987,1484.4617068831596,14438584,RELIANCE.NS,1488.57275390625
2024-02-26,1482.2940673828125,1489.4697863426854,1477.4854366314444,1488.4981086163489,7513106,RELIANCE.NS,1482.2940673828125
2024-02-27,1480.624755859375,1494.8763125629423,1473.0504874842213,1478.0086350232018,10826044,RELIANCE.NS,1480.624755859375
2024-02-28,1450.7012939453125,1486.2307308172146,1445.2697774372984,1477.983696983013,8647950,RELIANCE.NS,1450.7012939453125
2024-02-29,1455.85888671875,1473.9723367128477,1449.605087600302,1460.044631538696,23628976,RELIANCE.NS,1455.85888671875
2024-03-01,1487.077880859375,1494.926243638477,1457.553087547515,1458.549705043274,12132926,RELIANCE.NS,1487.077880859375
2024-03-04,1502.30126953125,1507.3341149979008,1482.1944624618202,1485.4334693922297,10024420,RELIANCE.NS,1502.30126953125
2024-03-05,1495.12548828125,1502.3012071002497,1481.0234483269724,1500.6817037023463,7107668,RELIANCE.NS,1495.12548828125
2024-03-06,1497.9161376953125,1503.8958428358128,1473.4990083716032,1488.398391683718,7805676,RELIANCE.NS,1497.9161376953125
2024-03-07,1473.922607421875,1498.015762858888,1470.5590233078656,1497.8911856694801,8315726,RELIANCE.NS,1473.922607421875
2024-03-11,1461.63916015625,1483.9634158613337,1458.5496703244203,1483.9634158613337,11277130,RELIANCE.NS,1461.63916015625
2024-03-12,1470.4344482421875,1482.9668648517434,1460.0696017370103,1461.6392256628503,9432678,RELIANCE.NS,1470.4344482421875
2024-03-13,1427.3306884765625,1478.0833606651493,1422.9455472318687,1474.769656206196,13522134,RELIANCE.NS,1427.3306884765625
2024-03-14,1426.633056640625,1443.625434216477,1420.6782912211108,1434.8302115061215,18571102,RELIANCE.NS,1426.633056640625
2024-03-15,1413.4278564453125,1428.377119229181,1408.120916820004,1421.1267024475223,19223818,RELIANCE.NS,1413.4278564453125
2024-03-18,1434.60595703125,1436.8483464149253,1411.733633980725,1415.1968554751415,9169392,RELIANCE.NS,1434.60595703125
2024-03-19,1420.4290771484375,1432.737278814348,1412.4561372310984,1423.9172383622733,8275764,RELIANCE.NS,1420.4290771484375
2024-03-20,1438.866455078125,1440.1122269007035,1419.2082000493178,1423.1198505777713,8488806,RELIANCE.NS,1438.866455078125
2024-03-21,1446.0670166015625,1452.9686412795918,1439.7883995028772,1447.61182235093,13006936,RELIANCE.NS,1446.0670166015625
2024-03-22,1450.1033935546875,1455.0615412559098,1442.4543056251903,1445.0704265469687,19527608,RELIANCE.NS,1450.1033935546875
2024-03-26,1436.6988525390625,1447.4873101860683,1434.1326110883704,1440.1123162075712,11415906,RELIANCE.NS,1436.6988525390625
2024-03-27,1487.8004150390625,1494.926254517076,1442.1055268574726,1443.102144360484,16326644,RELIANCE.NS,1487.8004150390625
2024-03-28,1480.8240966796875,1500.856084215032,1473.6484993008032,1487.8253589895007,21854364,RELIANCE.NS,1480.8240966796875
2024-04-01,1479.7528076171875,1488.9216401693752,1477.4854784200013,1487.4267138842959,5013880,RELIANCE.NS,1479.7528076171875
2024-04-02,1481.9202880859375,1488.9464898637184,1470.010758064916,1478.9803152327697,8910166,RELIANCE.NS,1481.9202880859375
2024-04-03,1466.622314453125,1479.4288252217937,1463.9314958187817,1477.0618586176802,7008292,RELIANCE.NS,1466.622314453125
2024-04-04,1457.9766845703125,1474.7447251116087,1445.095354899025,1474.7447251116087,14490272,RELIANCE.NS,1457.9766845703125
2024-04-05,1455.1611328125,1465.8250126567757,1451.075025547316,1455.9335356774968,7442298,RELIANCE.NS,1455.1611328125
2024-04-08,1480.9486083984375,1485.9316957072076,1456.058111622612,1458.0264067780952,8357118,RELIANCE.NS,1480.9486083984375
2024-04-09,1458.69921875,1484.7607905375294,1457.5530843009483,1483.9634478797345,7071414,RELIANCE.NS,1458.69921875
2024-04-10,1474.5703125,1481.9702462188995,1461.3900701830325,1461.3900701830325,9138330,RELIANCE.NS,1474.5703125
2024-04-12,1462.1873779296875,1481.4469623023954,1458.126088654758,1470.882841217157,15551012,RELIANCE.NS,1462.1873779296875
2024-04-15,1459.8701171875,1477.1116478494807,1441.4326942405721,1456.0581040790023,12902062,RELIANCE.NS,1459.8701171875
2024-04-16,1460.7921142578125,1466.1988129087342,1446.0173083453908,1448.434032810999,9366184,RELIANCE.NS,1460.7921142578125
2024-04-18,1459.371826171875,1480.9735584686243,1454.413678596639,1458.5496654231706,19005692,RELIANCE.NS,1459.371826171875
2024-04-19,1465.15234375,1469.0142366720518,1438.1440330653274,1451.8475240790594,15741778,RELIANCE.NS,1465.15234375
2024-04-22,1474.8443603515625,1477.8092730369624,1462.8351926557814,1467.4693666335522,10350362,RELIANCE.NS,1474.8443603515625
2024-04-23,1454.3887939453125,1488.4482458913958,1450.626660184371,1473.99729204779,14605554,RELIANCE.NS,1454.3887939453125
2024-04-24,1445.269775390625,1463.5826212393129,1444.5970099413846,1458.5496543975278,10462776,RELIANCE.NS,1445.269775390625
2024-04-25,1455.03662109375,1463.009561153273,1436.6241369752715,1437.620754482712,15943926,RELIANCE.NS,1455.03662109375
2024-04-26,1447.6368408203125,1460.0446803968975,1445.0954174576802,1458.998183328187,9413848,RELIANCE.NS,1447.6368408203125
2024-04-29,1460.069580078125,1462.9348553961377,1445.095377780333,1445.095377780333,7247974,RELIANCE.NS,1460.069580078125
2024-04-30,1462.037841796875,1478.0584191099754,1457.926794695708,1463.034459275946,11474262,RELIANCE.NS,1462.037841796875
2024-05-02,1461.5894775390625,1472.3279340272813,1459.1726313819618,1467.0209943783816,14512646,RELIANCE.NS,1461.5894775390625
2024-05-03,1429.1495361328125,1469.9609752694557,1411.3599375772862,1466.0243846941194,17226958,RELIANCE.NS,1429.1495361328125
2024-05-06,1414.7235107421875,1435.1292301519277,1413.2036446912732,1430.6444513077029,7394208,RELIANCE.NS,1414.7235107421875
2024-05-07,1396.7344970703125,1415.944323859933,1387.2915705177031,1411.1854509298719,14517472,RELIANCE.NS,1396.7344970703125
2024-05-08,1413.7518310546875,1428.1030260106236,1392.7729836046894,1392.7729836046894,9439002,RELIANCE.NS,1413.7518310546875
2024-05-09,1389.409423828125,1418.9342183629824,1385.2983764878284,1408.2205798397852,11009612,RELIANCE.NS,1389.409423828125
2024-05-10,1402.6644287109375,1405.230670101528,1383.3797828272338,1392.0254882725596,10505096,RELIANCE.NS,1402.6644287109375
2024-05-13,1397.955322265625,1402.2158864208184,1379.3186236295483,1395.164866252728,8456620,RELIANCE.NS,1397.955322265625
2024-05-14,1415.271484375,1422.2478065630996,1395.289377387814,1396.236115307523,7188300,RELIANCE.NS,1415.271484375
2024-05-15,1411.4844970703125,1425.1381083791202,1408.2454901427022,1415.6951817447234,5046534,RELIANCE.NS,1411.4844970703125
2024-05-16,1420.5286865234375,1422.6714384154043,1393.2961628188336,1413.7517607219268,14711774,RELIANCE.NS,1420.5286865234375
2024-05-17,1430.84375,1432.3386763063274,1408.4697349449302,1418.2366354759024,10916476,RELIANCE.NS,1430.84375
2024-05-21,1431.267333984375,1436.9480051777675,1420.7779102690051,1420.7779102690051,11176128,RELIANCE.NS,1431.267333984375
2024-05-22,1455.7093505859375,1463.806867633702,1431.4167994426434,1431.4167994426434,10281604,RELIANCE.NS,1455.7093505859375
2024-05-23,1481.0234375,1487.177477372599,1450.0784164448637,1453.6164571204579,14608260,RELIANCE.NS,1481.0234375
2024-05-24,1475.2430419921875,1483.4651362981733,1471.107055070422,1478.6066260264545,7094776,RELIANCE.NS,1475.2430419921875
2024-05-27,1461.2904052734375,1479.8773459277495,1456.6063516995487,1475.2181104653632,6629010,RELIANCE.NS,1461.2904052734375
2024-05-28,1451.2742919921875,1473.4989099427537,1447.83601042904,1463.0344266458997,7820162,RELIANCE.NS,1451.2742919921875
2024-05-29,1435.901611328125,1453.0683235349763,1433.5844026325685,1441.6072222176565,7383556,RELIANCE.NS,1435.901611328125
2024-05-30,1420.0303955078125,1435.5278460225502,1415.2964624662736,1430.6443960271654,13206858,RELIANCE.NS,1420.0303955078125
2024-05-31,1425.5616455078125,1437.371538130288,1417.4391888409098,1426.4586255573156,31069832,RELIANCE.NS,1425.5616455078125
2024-06-03,1505.21630859375,1509.3772354064818,1454.064962996406,1477.9837834980603,21527942,RELIANCE.NS,1505.21630859375
2024-06-04,1392.5487060546875,1492.9828563818792,1354.702181790911,1492.9828563818792,36709098,RELIANCE.NS,1392.5487060546875
2024-06-05,1415.9443359375,1426.3091824359717,1379.4182796425412,1417.190107832571,17464890,RELIANCE.NS,1415.9443359375
2024-06-06,1426.757568359375,1438.8166156062389,1416.5422391297848,1430.146092142623,17855722,RELIANCE.NS,1426.757568359375
2024-06-07,1464.977783203125,1467.0208976542601,1421.6748033313872,1423.6680382466784,18558696,RELIANCE.NS,1464.977783203125
2024-06-10,1466.4229736328125,1488.2986784951756,1463.1091475417077,1464.9778053029827,9251760,RELIANCE.NS,1466.4229736328125
2024-06-11,1451.747802734375,1468.690299735569,1449.7545677930582,1464.0310643972782,11774902,RELIANCE.NS,1451.747802734375
2024-06-12,1458.375244140625,1471.0074195261454,1450.2529088993854,1452.5699959074234,10081742,RELIANCE.NS,1458.375244140625
2024-06-13,1460.2938232421875,1467.2701458920392,1455.161218675457,1467.0209915116875,9181160,RELIANCE.NS,1460.2938232421875
2024-06-14,1472.55224609375,1474.6700582960718,1452.2959222700385,1465.0277352531252,8157998,RELIANCE.NS,1472.55224609375
2024-06-18,1476.0155029296875,1482.3689396887319,1466.3731796559373,1482.319060149225,7196766,RELIANCE.NS,1476.0155029296875
2024-06-19,1453.7161865234375,1482.4685779731483,1451.075125733717,1482.4685779731483,8725874,RELIANCE.NS,1453.7161865234375
2024-06-20,1468.7152099609375,1477.8342847208717,1445.195060509748,1454.0649808863911,16113776,RELIANCE.NS,1468.7152099609375
